symbol,name,currency,sector,industry,exchange,mic,market,country,market_cap,isin,cusip,figi,composite_figi
000002.SZ,"China Vanke Co., Ltd.",CNY,Real Estate,Real Estate Management & Development,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,CNE100001SR9,,,BBG006KY4KD6
000063.SZ,ZTE Corporation,CNY,Information Technology,Communications Equipment,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,BBG000GC4ZY6,BBG000GC4YL3
0001.HK,CK Hutchison Holdings Limited,HKD,Industrials,Industrial Conglomerates,HKG,XHKG,Hong Kong Stock Exchange,Hong Kong,Large Cap,KYG217651051,,BBG0087DLDQ6,BBG0087DLDN9
000157.SZ,"Zoomlion Heavy Industry Science and Technology Co., Ltd.",CNY,Industrials,Machinery,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,BBG000DPVZ16,BBG000DPVYB8
000166.SZ,"Shenwan Hongyuan Group Co., Ltd.",CNY,Financials,Capital Markets,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,CNE100003K53,,,BBG00NRVZJ74
000270.KS,Kia Corporation,KRW,Consumer Discretionary,Automobiles,KSC,XKRX,KOSPI Stock Market,South Korea,Large Cap,,,BBG000BCL248,BBG000BCL1T3
000301.SZ,"Jiangsu Eastern Shenghong Co., Ltd.",CNY,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,BBG000GC21J0,BBG000GC20B0
000333.SZ,"Midea Group Co., Ltd.",CNY,Consumer Discretionary,Household Durables,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,BBG0058YY935,BBG000QLWGC0
000338.SZ,Weichai Power Company Ltd.,CNY,Industrials,Machinery,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,CNE1000004L9,,,
0004.HK,Wharf (Holdings) Limited,HKD,Real Estate,Real Estate Management & Development,HKG,XHKG,Hong Kong Stock Exchange,Hong Kong,Large Cap,,,,
000538.SZ,"Yunnan Baiyao Group Co.,Ltd",CNY,Health Care,Pharmaceuticals,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,BBG000BZGLL2,BBG000BZGKX1
000568.SZ,"Luzhou Laojiao Co.,Ltd.",CNY,Consumer Staples,Beverages,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,BBG000BZCR88,BBG000BZCQF2
000596.SZ,"Anhui Gujing Distillery Co., Ltd.",CNY,Consumer Staples,Beverages,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,BBG000P643J7,BBG000P64227
000617.SZ,CNPC Capital Company Limited,CNY,Financials,Capital Markets,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,BBG000P6CHS7,BBG000P6CGK7
000625.SZ,Chongqing Changan Automobile Company Limited,CNY,Consumer Discretionary,Automobiles,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,BBG000P65Q14,BBG000P65NX6
000651.SZ,"Gree Electric Appliances, Inc. of Zhuhai",CNY,Information Technology,"Electronic Equipment, Instruments & Components",SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,BBG000P6ML25,BBG000P6MJD8
000660.KS,SK hynix Inc.,KRW,Information Technology,Semiconductors & Semiconductor Equipment,KSC,XKRX,KOSPI Stock Market,South Korea,Large Cap,,,BBG000GQVTN1,BBG000GQVT51
000661.SZ,Changchun High & New Technology Industry (Group) Inc.,CNY,Health Care,Pharmaceuticals,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,,
000768.SZ,AVIC Xi'an Aircraft Industry Group Company Ltd.,CNY,Industrials,Aerospace & Defense,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,BBG000D458R4,BBG000D457X9
000799.SZ,"Jiugui Liquor Co., Ltd.",CNY,Consumer Staples,Beverages,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,BBG000D3T612,BBG000D3T569
000858.SZ,"Wuliangye Yibin Co.,Ltd.",CNY,Consumer Staples,Beverages,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,BBG000GC3JC7,BBG000GC3GW1
000876.SZ,"New Hope Liuhe Co., Ltd.",CNY,Consumer Staples,Household Products,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,BBG000GBZ561,BBG000GBZ3R3
000895.SZ,"Henan Shuanghui Investment & Development Co.,Ltd.",CNY,Consumer Staples,Food & Staples Retailing,SHZ,XSHE,Shenzhen Stock Exchange,China,Large Cap,,,BBG000DYKFN9,BBG000DYKF22
