symbol,name,currency,category_group,category,family,exchange,mic,isin
AAA,AAF First Priority CLO Bond ETF,USD,Fixed Income,Corporate Bonds,Exchange Traded Concepts,PCX,ARCX,US46144X6105
AAAU,Goldman Sachs Physical Gold ETF,USD,Commodities,,Goldman Sachs Asset Management,PCX,ARCX,US38150K1034
AADA.SW,21Shares Cardano ETP,USD,Currencies,,21Shares,EBS,XSWX,CH1102728750
AADR,AdvisorShares Dorsey Wright ADR ETF,USD,Financials,Emerging Markets,AdvisorShares,NMS,XNAS,US00768Y2063
AASU.L,Amundi Index Solutions - Amundi MSCI Em Asia UCITS ETF-C USD,USD,Financials,Emerging Markets,Amundi Asset Management,LSE,XLON,LU1681044480
AASU.PA,Amundi Index Solutions - Amundi MSCI Em Asia UCITS ETF-C USD,USD,Financials,Emerging Markets,Amundi Asset Management,PAR,XPAR,LU1681044480
AASU.SW,Amundi Index Solutions - Amundi MSCI EM Asia,USD,Financials,Emerging Markets,Amundi Asset Management,EBS,XSWX,
AAXJ,iShares MSCI All Country Asia ex Japan ETF,USD,Financials,Emerging Markets,BlackRock Asset Management,NMS,XNAS,US4642881829
ABCH.SW,21Shares Bitcoin Cash ETP,USD,Currencies,,21Shares,EBS,XSWX,CH0475552201
ABEQ,Absolute Core Strategy ETF,USD,Alternatives,Blend,Absolute Investment Advisers,PCX,ARCX,US90470L5681
ABNB.SW,21Shares Binance BNB ETP,USD,Alternatives,,21Shares,EBS,XSWX,CH0496454155
ABTC-USD.SW,21Shares Bitcoin,USD,Alternatives,,21Shares,EBS,XSWX,
ACES,ALPS Clean Energy ETF,USD,Energy,Energy,ALPS ETF Trust,PCX,ARCX,US00162Q4608
ACIO,Aptus Collared Income Opportunity ETF,USD,Financials,,Aptus Capital Advisors,BTS,BATS,US26922A2226
ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,USD,Alternatives,Blend,Xtrackers,PCX,ARCX,US02507A7054
ACSI,American Customer Satisfaction ETF,USD,Consumer Discretionary,Blend,Exponential ETFs,BTS,BATS,US8863647108
ACTV,LeaderShares Activist Leaders ETF,USD,Financials,Growth,LeaderShares,PCX,ARCX,US90214Q7170
ACUUKD.SW,UBS (Irl) Fund Solutions plc - MSCI ACWI SF UCITS ETF (hedged to USD) A-UKdis,USD,Alternatives,Blend,UBS Asset Management,EBS,XSWX,IE00BYVDRC61
ACVF,American Conservative Values ETF,USD,Financials,Value,ACV ETFs,PCX,ARCX,US26923N1081
ACWD.L,SPDR MSCI ACWI UCITS ETF,USD,Alternatives,Blend,State Street Global Advisors,LSE,XLON,IE00BF1B7389
ACWF,iShares MSCI Global Multifactor ETF,USD,Alternatives,Blend,BlackRock Asset Management,PCX,ARCX,
ACWI,iShares MSCI ACWI ETF,USD,Alternatives,Blend,BlackRock Asset Management,NGM,XNAS,US4642882579
ACWIA.SW,UBS ETFs plc - MSCI ACWI SF UCITS ETF (USD) A-acc,USD,Alternatives,Blend,UBS Asset Management,EBS,XSWX,
ACWIU.SW,UBS ETFs plc - MSCI ACWI SF UCITS ETF (hedged to USD) A-acc,USD,Alternatives,Blend,UBS Asset Management,EBS,XSWX,
ACWU.L,Lyxor MSCI All Country World UCITS ETF USD Acc,USD,Alternatives,Blend,Lyxor International Asset Management,LSE,XLON,LU1829220216
ACWUKD.SW,UBS (Irl) Fund Solutions plc - MSCI ACWI SF UCITS ETF (USD) A-UKdis,USD,Alternatives,Blend,UBS Asset Management,EBS,XSWX,IE00BJXFZ989
ACWV,iShares MSCI Global Min Vol Factor ETF,USD,Alternatives,Blend,BlackRock Asset Management,BTS,BATS,US4642865251
ACWX,iShares MSCI ACWI ex U.S. ETF,USD,Alternatives,Blend,BlackRock Asset Management,NMS,XNAS,US4642882405
ADFI,Anfield Dynamic Fixed Income ETF,USD,Fixed Income,Corporate Bonds,Anfield,BTS,BATS,US90214Q7253
ADIV,SmartETFs Asia Pacific Dividend Builder ETF,USD,Financials,Developed Markets,SmartETFs,PCX,ARCX,US4020318436
ADME,Aptus Drawdown Managed Equity ETF,USD,Financials,Blend,Aptus Capital Advisors,BTS,BATS,US26922A7845
ADOT.SW,21Shares Polkadot ETP,USD,Alternatives,,21Shares,EBS,XSWX,CH0593331561
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,USD,Financials,Emerging Markets,BNY Mellon,NGM,XNAS,
AEB,Aegon N.V. PERP CAP FLTG RT,USD,Fixed Income,Corporate Bonds,Aegon Investment Management,NYQ,XNYS,
AEJ.L,Lyxor MSCI AC Asia Pacific Ex Japan UCITS ETF - Acc-EUR,USD,,Emerging Markets,Lyxor International Asset Management,LSE,XLON,LU1900068328
AEME.L,Amundi Index Solutions - Amundi Index MSCI Emerging Markets,USD,,Emerging Markets,Amundi Asset Management,LSE,XLON,
AEMU.L,Amundi Index Solutions - Amundi Index MSCI Emerging Markets UCITS ETF DR USD D denominated units,USD,,Emerging Markets,Amundi Asset Management,LSE,XLON,
AESR,Anfield U.S. Equity Sector Rotation ETF,USD,Equities,Large Cap,Anfield,BTS,BATS,US90214Q7337
AETH-USD.SW,21Shares Ethereum ETP,USD,Alternatives,,21Shares,EBS,XSWX,CH0454664027
AFIF,Anfield Universal Fixed Income ETF,USD,Fixed Income,Corporate Bonds,Affinity,BTS,BATS,US90214Q7667
